,file,Name,Parties,First Party,Second Party,Agreement Date,Effective Date,Expiration Date,Notice Period,Anti-Assignment,Amount,Condition for termination of contract,Limit the ability of a party to transfer the license being granted to a third party,File,first_party_location,second_party_location
223,LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.docx,SPONSORSHIP AGREEMENT,"['Southern Racing Promotions, Inc.', ""Logan's Roadhouse, Inc.""]","Southern Racing Promotions, Inc.","Logan's Roadhouse, Inc.","February 24th, 1998","February 24th, 1998","November 30, 1998",30 days,Yes,"Eighty Thousand Dollars and No/100's (580,000.00)","Either party may terminate this Agreement upon prior written notice to the other party upon the occurrence of any of the following conditions: material breach of the agreement, committing any crime involving moral turpitude, or cancellation of the LMSC series at NMS.",Yes,LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.docx,Tennessee,Tennessee
224,IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.docx,Cooperation Agreement,"['Dazzle Interactive Network Technologies Co., Ltd.', 'Shenzhen iDreamSky Technology Co., Ltd.']","Dazzle Interactive Network Technologies Co., Ltd.","Shenzhen iDreamSky Technology Co., Ltd.","January 1, 2013","January 1, 2013","December 31, 2014",Not mentioned,Yes,"RMB three thousand (3,000)","The contract can be terminated due to breach of contract, failure to meet performance standards, or changes in company nature or qualifications.",Yes,IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business.docx,Nanjing,Shenzhen
225,IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT.docx,Sponsorship Agreement,"['Ford Motor Media', 'iVillage, Inc.']",Ford Motor Media,"iVillage, Inc.","December 18, 1998","November 4, 1998","July 1, 2000",ninety (90) days,Yes,[*],"The contract can be terminated in the event of a material breach, if either party ceases to function as a going concern, or if either party materially underperforms its obligations.",Yes,IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT.docx,Michigan,York
226,IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT.docx,JOINT VENTURE AGREEMENT,"['IMPCO Technologies Inc', 'MINDA INDUSTRIES LIMITED', 'Mr. Nirmal K. MINDA']",IMPCO Technologies Inc,MINDA INDUSTRIES LIMITED,"May 18th, 2001","May 18th, 2001",indefinite,30 days,Yes,,"The agreement can be terminated by either party upon the enactment of any law or regulation in India, or the adoption by the Government of India or any political subdivision thereof of any policy, guideline or other similar direction which would have the effect of requiring any change in the terms of this Agreement adverse to IMPCO, or in the event that all or any portion of the facilities or other assets of the JVC are nationalised or expropriated by, or taken over for a period in excess of one (1) month by the Government of India or any political subdivisions thereof, or an event of Force Majeure preventing the JVC from carrying on its business for a continuous period of six (6) months, or if any Party is required, other than in accordance with the provisions of this Agreement, to transfer all or part of its shares or to reduce its percentage of shareholding in the JVC due to a change in or enactment of any law or regulation in India.",Yes,IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT.docx,U.S.A.,India
227,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).docx,AGREEMENT,"['HealthGate Data Corp.', 'Blackwell Science Limited', 'Munksgaard A/S']",HealthGate,Publishers,1998-03-20,1998-01-01,2000-02-28,three months,Yes,"$250,000","The contract can be terminated if the system fails to pass acceptance tests or meet the publisher's requirements, or if either party breaches the agreement and fails to remedy the breach within a specified time frame.",Yes,HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1).docx,Massachusetts,England
228,MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT.docx,Strategic Alliance Agreement,"['UTEK Corporation', 'Manakoa Services Corporation']",UTEK Corporation,Manakoa Services Corporation,"June 14, 2006",,,30 days,Yes,"$120,000",Either party may terminate this Agreement at any time with 30 days written notice.,Yes,MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT.docx,Florida,Washington
229,"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT.docx",ENDORSEMENT AGREEMENT,"['Bruce Jenner', 'The Right Solution']",Bruce Jenner,The Right Solution,"November 1, 2003",,,thirty (30) consecutive business days,Yes,"$10,000","The COMPANY and CELEBRITY may terminate this Agreement under the following conditions, such as if CELEBRITY is unable to provide the Services, if CELEBRITY willfully breaches or neglects the duties, if the COMPANY fails to make any payments, if the COMPANY ceases business, or if the COMPANY becomes insolvent.",Yes,"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT.docx",California,Nevada
230,MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT.docx,AGREEMENT,"['Martin Operating Partnership L.P.', 'Midstream Fuel Service LLC']",Owner,Charterer,"December 23rd, 2003","December 23rd, 2003",,30 days,Yes,$______ per gallon of product transported,"The contract can be terminated due to breach of obligations, failure to agree on fees during renewal, or by providing a 30-day written notice before the end of the initial term or any renewal term.",Yes,MARTINMIDSTREAMPARTNERSLP_01_23_2004-EX-10.3-TRANSPORTATION SERVICES AGREEMENT.docx,Delaware,Alabama
231,"MACY_S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT.docx",JOINT FILING AGREEMENT,"['VESA EQUITY INVESTMENT S.À R.L.', 'EP INVESTMENT S.À R.L.', 'DANIEL KŘETÍNSKÝ']",VESA EQUITY INVESTMENT S.À R.L.,EP INVESTMENT S.À R.L.,"May 11, 2020",,,,,,The document does not specify any conditions for termination of the contract.,,"MACY_S,INC_05_11_2020-EX-99.4-JOINT FILING AGREEMENT.docx",Null,Null
232,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.docx",CONSULTING AGREEMENT,"['Kiromic, Inc', 'Gianluca Rotino']","Kiromic, Inc",Gianluca Rotino,"July 20, 2018","July 1, 2018",,prior written notice,Yes,$400 per hour (19 hours cap monthly),Either Consultant or Company may terminate this Agreement upon prior written notice thereof to the other party.,Yes,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.docx",Texas,Null
233,INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT.docx,Software Hosting Agreement,"['INKTOMI CORPORATION', 'MICROSOFT CORPORATION']",INKTOMI CORPORATION,MICROSOFT CORPORATION,"July 27, 1997","July 27, 1997",,one year,Yes,[*] Dollars ($[*]),"The contract can be terminated by either party with or without cause, subject to specific notice periods and conditions.",Yes,INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT.docx,California,Washington
234,"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.docx",INTELLECTUAL PROPERTY AGREEMENT,"['VISUALANT INCORPORATED', 'KENNETH TURPIN']",VISUALANT INCORPORATED,KENNETH TURPIN,"June 16, 2004",,,,Yes,$10.00,"This Agreement may, with written notice, be terminated by either party should Turpin's employment with the Company terminate for any reason.",Yes,"KNOWLABS,INC_08_15_2005-EX-10-INTELLECTUAL PROPERTY AGREEMENT.docx",Nevada,Null
235,"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part1.docx",MASTER SERVICES AGREEMENT,"['Kubient Inc.', 'The Associated Press']",Kubient,Customer,"February 5, 2020","February 5, 2020",,ninety (90) days,Yes,,"Either Party may terminate this Agreement if the other Party commits a material breach of the Agreement and upon thirty (30) days written notice to the other Party, such other Party hasn't cured the breach within such thirty (30) days.",Yes,"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part1.docx",New York,New York
236,"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT.docx",JOINT VENTURE AGREEMENT,"['KIROMIC BIOPHARMA Inc.', 'MOLIPHARMA S.R.L.']",KIROMIC BIOPHARMA Inc.,MOLIPHARMA S.R.L.,2 April 2020,signing date,,one year,Yes,,The Parties may withdraw from this JV only for serious and justified reasons or by mutual consent.,Yes,"KIROMICBIOPHARMA,INC_04_08_2020-EX-10.28-JOINT VENTURE AGREEMENT.docx",USA,Italy
237,KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.docx,Agreement,"['DEXCEL LTD.', 'KITOV Pharma Ltd.']",DEXCEL LTD.,KITOV Pharma Ltd.,Effective Date,Effective Date,,****,Yes,****,"This Agreement may be terminated by either Party, effective immediately upon written notice to the other Party, if (i) a receiver, trustee, or liquidator of the other Party is appointed for any of properties or assets of the other Party; (ii) the other Party makes a general assignment for the benefit of its creditors; (iii) the other Party files a petition under the relevant statute for the bankruptcy or reorganization of the other Party or any arrangement with its creditors or readjustment of its debt, or its dissolution or liquidation, or such a petition is filed against the other Party and is not dismissed within sixty (60) days thereafter; or (iv) the other Party ceases doing business generally or commences dissolution or liquidation proceedings;",Yes,KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.docx,Israel,Israel
238,LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.docx,Agreement,"['VerticalNet, Inc.', 'LeadersOnline, Inc.']",VerticalNet,LeadersOnline,"March 15, 2000","March 15, 2000","June 15, 2001",90 days,Yes,***,"Either Party may terminate this Agreement immediately upon written notice to the other Party in the event of any material breach of a term of this Agreement by such other Party that remains uncured 30 days after notice of such breach was received by such other Party or, if the breach is not reasonably capable of cure within 30 days, such longer period, not to exceed 60 days, so long as the cure is commenced within the 30-day period and thereafter is diligently prosecuted to completion as soon as possible and in any event within 60 days.",Yes,LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.docx,Pennsylvania,California
239,LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.docx,TALENT ENDORSEMENT AGREEMENT,"['Tigrent\xa0Learning\xa0UK\xa0Limited', 'Celebrity\xa0Speakers', 'Robbie\xa0Fowler']",Tigrent Learning UK Limited,Celebrity Speakers,______________ 2013,1st January 2013,315t December 2013,,Yes,"[***]of Company’s revenues from sales of the Property Training  Course and all Products after
deductions for VAT, returns, refunds","The agreement can be terminated if either party engages in illegal, immoral, or criminal conduct, misrepresents their background, acts against the other party's best interests, offends the public, or damages the other party's reputation.",Yes,LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.docx,England,England
240,LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.docx,INTERNET CHANNEL COOPERATION AGREEMENT,"['Beijing Baidu Netcom Science and Technology Co., Ltd.', 'China Online Housing (Hong Kong) Co., Ltd.', 'Beijing Yisheng Leju Information Services Co., Ltd.']","Beijing Baidu Netcom Science and Technology Co., Ltd.","China Online Housing (Hong Kong) Co., Ltd.","April 29, 2010","April 29, 2010","July 31, 2014",one month,Yes,RMB200 million,"The agreement will terminate upon expiration, mutual agreement, breach of contract, bankruptcy or liquidation of a party, force majeure events lasting over 30 days, or unilateral termination by Party B within three months before the 4th anniversary.",Yes,LEJUHOLDINGSLTD_03_12_2014-EX-10.34-INTERNET CHANNEL COOPERATION AGREEMENT.docx,Beijing,Beijing
241,LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT.docx,AGREEMENT,"['Lightbridge', 'Lloyds']",Lightbridge,Lloyds,"August 16, 2012","August 16, 2012",,30 days,Yes,,The agreement can be terminated by either party for any reason upon thirty (30) days' written notice to the other Party.,Yes,LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT.docx,Nevada,Abu Dhabi
242,GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.docx,CONTRACT,"['ECOPETROL S.A.', 'SOLANA PETROLEUM EXPLORATION COLOMBIA LIMITED']",ECOPETROL S.A.,SOLANA PETROLEUM EXPLORATION COLOMBIA LIMITED,"January 30, 2012","January 30, 2012","July 29, 2012",30,Yes,(USD$6.745.000),The Contract hereof shall terminate upon expiration of the term of validity agreed.,Yes,GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.docx,Null,Null
243,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.docx,Agreement,"['T&B Seminars, Inc .', 'Legacy Education Alliance Holdings, Inc.']","T&B Seminars, Inc .","Legacy Education Alliance Holdings, Inc.",12-23-2019,12-23-2019,,90 days,Yes,,The Agreement may be terminated immediately by either party in the event of a breach of this Agreement by the other party that is susceptible of cure and such breach is not cured within the 30-day period after written notice of such breach to the breaching party.,Yes,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.docx,California,Colorado
244,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.docx,Agreement,"['Beijing SINA Internet Information Service Co., Ltd. (北京新浪互 联信息服务有限公司 )', 'Beijing Yisheng Leju Information Services Co., Ltd.']",Licensor,Licensee,,Closing Date as set forth in the Share Purchase Agreement,,twelve (12) months,Yes,,"Either Party may immediately terminate this Agreement in the event that the other Party (a) becomes insolvent or unable to pay its debts as they mature; (b) makes an assignment for the benefit of its creditors; (c) seeks relief, or if proceedings are commenced against such other Party or on its behalf, under any bankruptcy, insolvency or debtors’ relief law and such proceedings have not been vacated or set aside within seven (7) days from the date of commencement thereof.",Yes,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.docx,China,China
245,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT.docx",AGREEMENT,"['Homewood Suites Franchise LLC', 'ARC Hospitality TRS Stratford, LLC']",Homewood Suites Franchise LLC,"ARC Hospitality TRS Stratford, LLC","March 21, 2014","March 21, 2014",fifteen (15) years from the Effective Date,sixty (60) days,Yes,"$3,600 multiplied by the number of approved Guest Rooms at the Hotel","The agreement can be terminated for various reasons, including failure to pay fees, failure to meet operational standards, or unauthorized transfer of the franchise.",Yes,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT.docx",Null,Connecticut
246,INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.docx,Strategic Alliance Agreement,"['IntriCon Corporation', 'Dynamic Hearing Pty Ltd']",IntriCon Corporation,Dynamic Hearing Pty Ltd,"October 1, 2008","October 1, 2008",,three (3) months,Yes,"US$300,000","The agreement may be terminated by either party for breach of contract, insolvency, or sale of a significant portion of assets.",Yes,INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.docx,Minnesota,AUSTRALIA
247,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.docx,DISTRIBUTOR AGREEMENT,"['Electric City Corp., a Delaware corporation', 'Electric City of Illinois LLC']",Electric City Corp.,Electric City of Illinois LLC,"September 7, 1999",immediately,,30 days,Yes,"$500,000","The agreement can be terminated for cause, such as failure to make payments, default in performance, insolvency, discontinuation of business, bankruptcy proceedings, or assignment for the benefit of creditors.",Yes,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.docx,Delaware,Illinois
248,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.docx,E-CENTIVES - EXCITE@HOME CO-BRANDING AGREEMENT,"['At Home Corporation', 'e-centives, Inc.']",Excite@Home,e-centives,"February 16th, 2000","February 16th, 2000",,thirty (30) days,Yes,$3.75 million,Either party may terminate if the other party breaches the Agreement and the breach remains uncured for thirty (30) days following receipt of written notice of intention to terminate from the other party.,Yes,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.docx,California,MD
249,"Loop Industries, Inc. - Marketing Agreement.docx",Marketing Agreement,"['Loop Industries, Inc.', 'Indorama Loop Technologies, LLC']","Loop Industries, Inc.","Indorama Loop Technologies, LLC","September __, 2018","September __, 2018",,30 days,Yes,,"If a Party commits a material breach of this Agreement, the non-breaching Party shall be entitled to terminate this Agreement if the breaching party does not cure the breach within thirty (30) days after the non-breaching party gives the breaching party written notice of the specific breach.",Yes,"Loop Industries, Inc. - Marketing Agreement.docx",Canada,Delaware
250,"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT.docx",JOINT FILING AGREEMENT,"['MFA FINANCIAL, INC.', 'ATHENE ANNUITY AND LIFE COMPANY', 'ATHENE ANNUITY & LIFE ASSURANCE COMPANY', 'ATHENE USA CORPORATION', 'ATHENE LIFE RE LTD.', 'ATHENE HOLDING LTD.', 'APOLLO INSURANCE SOLUTIONS GROUP LP', 'AISG GP LTD.', 'APOLLO LIFE ASSET, L.P.', 'APOLLO LIFE ASSET GP, LLC', 'APOLLO CAPITAL MANAGEMENT, L.P.', 'APOLLO CAPITAL MANAGEMENT GP, LLC', 'APOLLO MANAGEMENT HOLDINGS, L.P.', 'APOLLO MANAGEMENT HOLDINGS GP, LLC', 'OMAHA EQUITY AGGREGATOR, L.P.', 'AP OMAHA ADVISORS, LLC', 'APOLLO HYBRID VALUE ADVISORS, L.P.', 'APOLLO HYBRID VALUE CAPITAL MANAGEMENT, LLC', 'APH HOLDINGS, L.P.', 'APOLLO PRINCIPAL HOLDINGS III GP, LTD.']","MFA FINANCIAL, INC.",ATHENE ANNUITY AND LIFE COMPANY,"July 6, 2020",,,,,,,,"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT.docx",Null,Null
251,MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.docx,MASTER SERVICES AGREEMENT,"['RadialSpark, LLC', 'Clear Capital']",Clear Capital,"RadialSpark, LLC",09/24/2018,09/24/2018,,fifteen (15) days,Yes,,Either party may terminate this Agreement for any or no reason upon fifteen (15) days advance notice to the other.,Yes,MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.docx,Null,Null
252,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.docx,AGREEMENT,"['LIQUIDMETAL TECHNOLOGIES, INC.', 'EUTECTIX, LLC']","LIQUIDMETAL TECHNOLOGIES, INC.","EUTECTIX, LLC",", 2020",Effective Date,,180 days,Yes,,Either Party may terminate this Agreement hereunder for default if the other Party materially breaches this Agreement.,Yes,LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.docx,California,New Jersey
253,LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.docx,Distributor Agreement,"['Lucid Inc.', 'Distributor']",Lucid Inc.,Distributor,[*],,,Ninety days,Yes,,"Either party may terminate this agreement by giving written Notice to the other party if:

i) The other party fails to perform or satisfy any of the conditions, covenants or obligations of this Agreement.
ii) The other party files or has filed against it, a petition seeking relief under any bankruptcy, insolvency, reorganisation, moratorium, liquidation or similar law affecting creditors ’
rights",Yes,LUCIDINC_04_15_2011-EX-10.9-DISTRIBUTOR AGREEMENT.docx,New York,Null
254,"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.docx",AGREEMENT,"['First Data Merchant Services Corporation', 'Wells Fargo Bank, N.A.', 'iPayment, Inc.']","iPayment, Inc.",First Data Merchant Services Corporation,"January 29, 2007","January 29, 2007","June 30, 2010",six (6) months,Yes,[***],"The contract can be terminated for various reasons, including material breach of the agreement, breach of rules, fraudulent activity, insolvency, or a material adverse change in business or financial condition.",Yes,"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.docx",Null,Null
255,"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement.docx",Franchise Agreement,"['Goosehead Insurance Agency, LLC', 'Franchisee']","Goosehead Insurance Agency, LLC",Franchisee,,Effective Date,,six (6) months,Yes,($ ),"The franchise agreement can be terminated if the franchisee fails to comply with the agreement or the manual, ceases to operate or abandons the franchised business, is convicted of a felony, or engages in fraudulent or unethical conduct.",Yes,"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement.docx",Texas,Null
256,IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.docx,PROMOTION AGREEMENT,"['JANSSEN BIOTECH, INC.', 'IMMUNOMEDICS, INC.']","JANSSEN BIOTECH, INC.","IMMUNOMEDICS, INC.","April 5, 2019","April 5, 2019","March 31, 2020",30 days,Yes,[***],The agreement may be terminated by either party if the other party commits a material breach of the agreement and such breach shall not have been cured within thirty (30) days after the giving of notice of such material breach.,Yes,IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT.docx,Pennsylvania,Delaware
257,"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.docx",CONSULTING AGREEMENT,"['Gunston Consulting, LLC', 'Medalist Diversified REIT, Inc.']",CONSULTANT,REIT,1st day of March 2020,1st day of March 2020,,ninety (90) days,Yes,"$200,000 annual fee","The agreement shall terminate immediately upon the occurrence of any of the following events: death or bankruptcy of CONSULTANT, termination for cause by the Company, ninety (90) days following the date the Company gives CONSULTANT written notice of termination for any or no reason, or CONSULTANT may terminate this Agreement by giving ninety (90) days’ written notice to REIT.",Yes,"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.docx",Virginia,Maryland
258,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.docx,STRATEGIC ALLIANCE AGREEMENT,"['KALLO Inc.', 'Petro data Management Services Limited.', 'Gateway Global Fabrication Ltd.']",KALLO Inc.,Petro data Management Services Limited.,24 OCT 2011,24 OCT 2011,,3 months,Yes,,"This agreement shall terminate upon notification of a Material Breach that is not cured within 10 business days thereafter; Failure to cure a non -material breach within sixty days of written notice; Automatically, unless otherwise agreed between parties, in the event that Agent is the subject of a proceeding in bankruptcy which is not dismissed within 60 days, is placed in receivership, or makes an assignment for the benefit of its creditors; or by Termination for ""Cause"" by giving 3 months written notice by the Agent or Kallo.",Yes,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT.docx,Canada,Nigeria
259,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.docx,Agreement,"['Morgan Stanley Investment Management Inc.', 'Morgan Stanley Direct Lending Fund']",Licensor,Licensee,"[ ·] day of [·], 2019","[ ·] day of [·], 2019",perpetuity,30 days,Yes,,"The agreement can be terminated for convenience, breach of contract, or termination of the advisory agreement.",Yes,MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.docx,New York,Delaware
260,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.docx,Agreement,"['MediWound Ltd.', 'Challenge Bioproducts Corporation Ltd.']",MediWound,CBC,"January 11, 2001","January 31, 2001",,6 months,Yes,US$ [***],Either party may terminate the agreement by giving 90 days written notice if a breach of the agreement is not corrected within 90 days of the other party's notice.,Yes,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.docx,Israel,China
261,"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.docx",COOPERATION AGREEMENT,"['The Meet Group, Inc.', 'Investors']","The Meet Group, Inc.",Investors,"June 27, 2017",immediately following the execution of this Agreement,11:59 p.m. Eastern Time on the date of the certification of the vote of stockholders at the 2018 Annual Meeting,,Yes,,"The provisions of Sections 1, 2, and 3 of this Agreement shall automatically terminate upon the occurrence of a Change of Control transaction (as defined below) involving the Company if the acquiring or counter-party to the Change of Control transaction has conditioned the closing of the transaction on the termination of such sections",Yes,"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT.docx",Delaware,Null
262,MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.docx,SPONSORSHIP AGREEMENT,"['FOOTBALL NORTHWEST LLC', 'MERCATA, Inc.']",FOOTBALL NORTHWEST LLC,"MERCATA, Inc.","July 12, 1999","July 19, 1999",End of the 1999 season,forty-five (45) days,Yes,"Forty thousand Dollars ($40,000 net)","The contract can be terminated by either party with a 45-day written notice under specific conditions, such as damage to the Kingdome, cancellation of FNW's NFL franchise, relocation of the franchise, or material breach of contract by either party.",Yes,MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.docx,Washington,Delaware
263,MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.docx,CO-BRANDING AGREEMENT,"['Lucent Technologies Inc.', 'mPhase Technologies Inc.']",Lucent Technologies Inc.,mPhase Technologies Inc.,January 21st 2003,January 21st 2003,,30 days,Yes,,"The agreement can be terminated by either party with a 30-day written notice, or by Lucent if mPhase's use of the logo adversely affects Lucent's rights, if mPhase attempts to adopt a similar designation, if there is a significant change in mPhase's management or ownership, if mPhase undergoes bankruptcy proceedings, or if the quality of mPhase's goods declines.",Yes,MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.docx,New Jersey,Connecticut
264,MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT.docx,ENDORSEMENT AGREEMENT,"['Movado Group, Inc.', 'The Trustees of the Grinberg Family Trust']","Movado Group, Inc.",The Trustees of the Grinberg Family Trust,"April 4th, 2003",,,sixty (60) days,Yes,"$5,186,860",The agreement shall terminate upon the Trust's payment to the Company of the sum of the aggregate amount of the premiums paid under the Policy since inception (which amount includes the outstanding principal balance of the Demand Note).,Yes,MOVADOGROUPINC_04_30_2003-EX-10.28-ENDORSEMENT AGREEMENT.docx,New Jersey,New York
265,INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT.docx,FRANCHISE AGREEMENT,"['BURGER KING CORPORATION', 'The party specified as the Franchisee on SCHEDULE 1 attached hereto', 'The party or parties specified as the Principals on SCHEDULE 1 attached hereto']",BURGER KING CORPORATION,The party specified as the Franchisee on SCHEDULE 1 attached hereto,199,Commencement Date,,one-hundred eighty (180) days,Yes,U.S. $______________________,"The agreement will terminate upon the occurrence of an Event of Default, without any further notice or opportunity to cure under Section 17.1.1 and BKC shall, subject to the provisions of Subsection 17.6 below, have the right to claim lost royalties and advertising contributions, and shall also have all other rights and remedies available under applicable law.",Yes,INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT.docx,Florida,Poland
266,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement_Option Agreement.docx,Agreement,"['HARPOON THERAPEUTICS, INC.', 'ABBVIE BIOTECHNOLOGY LTD']",Harpoon,AbbVie,"November 20, 2019","November 20, 2019",,90 days,Yes,"Thirty Million Dollars ($30,000,000)","The contract can be terminated for material breach, insolvency, or by AbbVie for any reason with 90 days' notice.",Yes,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement_Option Agreement.docx,Delaware,Bermuda
